"","M_a_All","M_a_Juv","M_a_Adult","h","SR_alpha","R0","Linf","K","W_1","Lmat","Amat"
"long-lived",-3.20669587838829,-3.33014217179795,0.123446281641293,1.33810400426704,0.464815576028954,0.000975327152374916,1.34842613941366,0.847546437920954,0.463840260200854,-2.55675396987343,-1.40209704890815
"medium-lived",-0.334892768627526,-0.966351155762268,0.631457747424236,1.89810522610578,0.169858566767545,0.000238402519947556,0.489357974808868,0.648161830762994,0.169620164580664,-0.997121624934927,-0.568657318456012
"short-lived",-1.52142271614419,-0.841233070536518,-0.680190444968254,1.22804124425002,0.485407158357098,-0.00383266152148565,1.41491611060918,0.767640949250747,0.489242452106353,-1.6417086220466,-0.86533838861147
"long-lived",-8.47864926001307,-7.30852251784597,-1.17012673150896,-0.39155053954687,1.01245181127751,0.995924446911545,3.00985995238534,1.14193496969506,1.01652735473579,-2.5031716521795,-1.37271307742992
"medium-lived",-7.10813513027375,-5.35913774291075,-1.748996794948,-0.946134458779113,0.940379157654547,0.999781852417669,2.80891670279004,0.918287913709293,0.940597307153013,-2.81952423053511,-1.60797189696638
"short-lived",-4.95115386600631,-1.83203352577266,-3.11911957462385,-0.336506722931063,1.06912630881695,1.00365151167736,3.14855394334401,0.96604377120002,1.0654722730763,-1.97789129163795,-1.0425358736299
"long-lived",-11.6063741497641,-10.5041089861757,-1.10226516625289,0.888579002378265,1.45712886734373,0.996857515644933,4.30238987014775,1.9350275630714,1.46027135183857,-1.56003057849574,-0.855504403318719
"medium-lived",-7.49779093567327,-6.25549977684159,-1.24229115883168,0.81367321902448,1.09786168600579,1.00000288494329,3.26285146634575,1.52230504202322,1.09785880342272,-0.333735666657731,-0.190329109805987
"short-lived",-6.52287728231116,-2.63834854918876,-3.88452873401057,0.840560773651688,1.53438510297477,0.999977936899654,4.4980483873136,1.75231255150621,1.53440716510467,-1.23690992848147,-0.651969444653844
