"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"20","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.193877551020408,0.00941405093072132,0.0640686034868719,165527838.645785,0.0424602537391713,6649813.55587714
"21","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.204081632653061,0.00934526744555316,0.0615304797571761,165527838.645785,0.0424602537391713,6649813.55587714
"22","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.214285714285714,0.0092741621475778,0.0592371633130067,165527838.645785,0.0424602537391713,6649813.55587714
"23","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.224489795918367,0.00920120692674506,0.0571564889607075,165527838.645785,0.0424602537391713,6649813.55587714
"24","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.23469387755102,0.00912678771214535,0.0552615718623831,165527838.645785,0.0424602537391713,6649813.55587714
"25","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.244897959183673,0.00905122241349476,0.0535297778292858,165527838.645785,0.0424602537391713,6649813.55587714
"26","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.255102040816327,0.00897477478364374,0.0519419250951456,165527838.645785,0.0424602537391713,6649813.55587714
"27","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.26530612244898,0.0088976649458175,0.0504816575082489,165527838.645785,0.0424602537391713,6649813.55587714
"28","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.275510204081633,0.00882007765505896,0.0491349489946172,165527838.645785,0.0424602537391713,6649813.55587714
"29","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.285714285714286,0.00874216871937144,0.0478897077338556,165527838.645785,0.0424602537391713,6649813.55587714
"30","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.295918367346939,0.00866407017818282,0.0467354583088509,165527838.645785,0.0424602537391713,6649813.55587714
"31","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.306122448979592,0.00858589433134549,0.0456630835680764,165527838.645785,0.0424602537391713,6649813.55587714
"32","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.316326530612245,0.00850773703895591,0.0446646143579573,165527838.645785,0.0424602537391713,6649813.55587714
"33","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.326530612244898,0.00842968036704733,0.0437330567181707,165527838.645785,0.0424602537391713,6649813.55587714
"34","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.336734693877551,0.00835179482195608,0.0428622495295102,165527838.645785,0.0424602537391713,6649813.55587714
"35","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.346938775510204,0.00827414101813243,0.0420467453847859,165527838.645785,0.0424602537391713,6649813.55587714
"36","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.357142857142857,0.00819677127935199,0.0412817122562667,165527838.645785,0.0424602537391713,6649813.55587714
"37","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.36734693877551,0.00811973074366168,0.0405628497915948,165527838.645785,0.0424602537391713,6649813.55587714
"38","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.377551020408163,0.00804305843374079,0.0398863194815915,165527838.645785,0.0424602537391713,6649813.55587714
"39","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.387755102040816,0.00796678813509797,0.0392486853860083,165527838.645785,0.0424602537391713,6649813.55587714
"40","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.397959183673469,0.0078909490154611,0.0386468631040087,165527838.645785,0.0424602537391713,6649813.55587714
"41","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.408163265306122,0.00781556634729832,0.0380780771652594,165527838.645785,0.0424602537391713,6649813.55587714
"42","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.418367346938775,0.00774066194962118,0.0375398236322427,165527838.645785,0.0424602537391713,6649813.55587714
"43","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.428571428571429,0.0076662546430876,0.0370298383008764,165527838.645785,0.0424602537391713,6649813.55587714
"44","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.438775510204082,0.00759236062871152,0.0365460691784403,165527838.645785,0.0424602537391713,6649813.55587714
"45","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.448979591836735,0.00751899381513894,0.0360866526408976,165527838.645785,0.0424602537391713,6649813.55587714
"46","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.459183673469388,0.00744616606949032,0.0356498925543014,165527838.645785,0.0424602537391713,6649813.55587714
"47","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.469387755102041,0.00737388751966421,0.0352342424788112,165527838.645785,0.0424602537391713,6649813.55587714
"48","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.479591836734694,0.00730216667891791,0.0348382894431947,165527838.645785,0.0424602537391713,6649813.55587714
